"HostName","DisplayName","Name","State","UserName","InstallDate","Started","Status","ProcessId","PathName"
"DC-SRV01","Windows Process Activation Service","WAS","Stopped","localSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k iissvcs"
"DC-SRV01","Windows Biometric Service","WbioSrvc","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k WbioSvcGroup"
"DC-SRV01","Windows Connection Manager","Wcmsvc","Running","NT Authority\LocalService",,"True","OK","1268","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DC-SRV01","Diagnostic Service Host","WdiServiceHost","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalService -p"
"DC-SRV01","Diagnostic System Host","WdiSystemHost","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Microsoft Defender Antivirus Network Inspection Service","WdNisSvc","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","""C:\Program Files\Windows Defender\NisSrv.exe"""
"DC-SRV01","Windows Event Collector","Wecsvc","Stopped","NT AUTHORITY\NetworkService",,"False","OK","0","C:\Windows\system32\svchost.exe -k NetworkService -p"
"DC-SRV01","Windows Encryption Provider Host Service","WEPHOSTSVC","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\system32\svchost.exe -k WepHostSvcGroup"
"DC-SRV01","Problem Reports Control Panel Support","wercplsupport","Stopped","localSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p"
"DC-SRV01","Windows Error Reporting Service","WerSvc","Stopped","localSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k WerSvcGroup"
"DC-SRV01","Still Image Acquisition Events","WiaRpc","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Microsoft Defender Antivirus Service","WinDefend","Stopped","LocalSystem",,"False","OK","0","""C:\Program Files\Windows Defender\MsMpEng.exe"""
"DC-SRV01","WinHTTP Web Proxy Auto-Discovery Service","WinHttpAutoProxySvc","Running","NT AUTHORITY\LocalService",,"True","OK","348","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DC-SRV01","Windows Management Instrumentation","Winmgmt","Running","localSystem",,"True","OK","1208","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","Windows Remote Management (WS-Management)","WinRM","Running","NT AUTHORITY\NetworkService",,"True","OK","652","C:\Windows\System32\svchost.exe -k NetworkService -p"
"DC-SRV01","WINS","WINS","Running","NT Authority\LocalService",,"True","OK","2196","C:\Windows\System32\wins.exe"
"DC-SRV01","Windows Insider Service","wisvc","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","Microsoft Account Sign-in Assistant","wlidsvc","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","WMI Performance Adapter","wmiApSrv","Running","localSystem",,"True","OK","6320","C:\Windows\system32\wbem\WmiApSrv.exe"
"DC-SRV01","Windows Media Player Network Sharing Service","WMPNetworkSvc","Stopped","NT AUTHORITY\NetworkService",,"False","OK","0","""C:\Program Files\Windows Media Player\wmpnetwk.exe"""
"DC-SRV01","Portable Device Enumerator Service","WPDBusEnum","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted"
"DC-SRV01","Windows Push Notifications System Service","WpnService","Running","LocalSystem",,"True","OK","1208","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","Windows Search","WSearch","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\SearchIndexer.exe /Embedding"
"DC-SRV01","Windows Update","wuauserv","Running","LocalSystem",,"True","OK","1208","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","CaptureService_15be37","CaptureService_15be37","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalService -p"
"DC-SRV01","Clipboard User Service_15be37","cbdhsvc_15be37","Running",,,"True","OK","6104","C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p"
"DC-SRV01","Connected Devices Platform User Service_15be37","CDPUserSvc_15be37","Running",,,"True","OK","620","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"DC-SRV01","ConsentUX User Service_15be37","ConsentUxUserSvc_15be37","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k DevicesFlow"
"DC-SRV01","CredentialEnrollmentManagerUserSvc_15be37","CredentialEnrollmentManagerUserSvc_15be37","Stopped",,,"False","OK","0","C:\Windows\system32\CredentialEnrollmentManager.exe"
"DC-SRV01","DeviceAssociationBroker_15be37","DeviceAssociationBrokerSvc_15be37","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k DevicesFlow -p"
"DC-SRV01","DevicePicker_15be37","DevicePickerUserSvc_15be37","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k DevicesFlow"
"DC-SRV01","DevicesFlow_15be37","DevicesFlowUserSvc_15be37","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k DevicesFlow"
"DC-SRV01","Contact Data_15be37","PimIndexMaintenanceSvc_15be37","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"DC-SRV01","PrintWorkflow_15be37","PrintWorkflowUserSvc_15be37","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k PrintWorkflow"
"DC-SRV01","Udk User Service_15be37","UdkUserSvc_15be37","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k UdkSvcGroup"
"DC-SRV01","User Data Storage_15be37","UnistoreSvc_15be37","Stopped",,,"False","OK","0","C:\Windows\System32\svchost.exe -k UnistackSvcGroup"
"DC-SRV01","User Data Access_15be37","UserDataSvc_15be37","Stopped",,,"False","OK","0","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"DC-SRV01","Windows Push Notifications User Service_15be37","WpnUserService_15be37","Running",,,"True","OK","620","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
